Comparison of the Reverse Engineering Tools Ghidra and Dyninst

Address, Ghidra Symbols, Dyninst Symbols, Full Match, Partial Match
3408, [_init], [_init], true, true
3420, [FUN_00103420], [ ], false, false
3430, [ ], [__ctype_toupper_loc], false, false
3440, [ ], [getenv], false, false
3450, [ ], [sigprocmask], false, false
3460, [ ], [__snprintf_chk], false, false
3470, [ ], [raise], false, false
3480, [ ], [abort], false, false
3490, [ ], [__errno_location], false, false
34a0, [ ], [strncmp], false, false
34b0, [ ], [localtime_r], false, false
34c0, [ ], [_exit], false, false
34d0, [ ], [strcpy], false, false
34e0, [ ], [__fpending], false, false
34f0, [ ], [isatty], false, false
3500, [ ], [sigaction], false, false
3510, [ ], [iswcntrl], false, false
3520, [ ], [wcswidth], false, false
3530, [ ], [localeconv], false, false
3540, [ ], [mbstowcs], false, false
3550, [ ], [readlink], false, false
3560, [ ], [clock_gettime], false, false
3570, [ ], [setenv], false, false
3580, [ ], [textdomain], false, false
3590, [ ], [fclose], false, false
35a0, [ ], [opendir], false, false
35b0, [ ], [getpwuid], false, false
35c0, [ ], [bindtextdomain], false, false
35d0, [ ], [dcgettext], false, false
35e0, [ ], [__ctype_get_mb_cur_max], false, false
35f0, [ ], [strlen], false, false
3600, [ ], [__lxstat], false, false
3610, [ ], [__stack_chk_fail], false, false
3620, [ ], [getopt_long], false, false
3630, [ ], [mbrtowc], false, false
3640, [ ], [strchr], false, false
3650, [ ], [getgrgid], false, false
3660, [ ], [__fxstatat], false, false
3670, [ ], [snprintf], false, false
3680, [ ], [__overflow], false, false
3690, [ ], [strrchr], false, false
36a0, [ ], [fgetfilecon], false, false
36b0, [ ], [gmtime_r], false, false
36c0, [ ], [lseek], false, false
36d0, [ ], [__assert_fail], false, false
36e0, [ ], [__strtoul_internal], false, false
36f0, [ ], [fnmatch], false, false
3700, [ ], [memset], false, false
3710, [ ], [ioctl], false, false
3720, [ ], [getcwd], false, false
3730, [ ], [strspn], false, false
3740, [ ], [closedir], false, false
3750, [ ], [memcmp], false, false
3760, [ ], [_setjmp], false, false
3770, [ ], [fputs_unlocked], false, false
3780, [ ], [calloc], false, false
3790, [ ], [lgetfilecon], false, false
37a0, [ ], [strcmp], false, false
37b0, [ ], [signal], false, false
37c0, [ ], [dirfd], false, false
37d0, [ ], [fputc_unlocked], false, false
37e0, [ ], [getpwnam], false, false
37f0, [ ], [__memcpy_chk], false, false
3800, [ ], [sigemptyset], false, false
3810, [ ], [memcpy], false, false
3820, [ ], [getgrnam], false, false
3830, [ ], [getfilecon], false, false
3840, [ ], [tzset], false, false
3850, [ ], [fileno], false, false
3860, [ ], [tcgetpgrp], false, false
3870, [ ], [__xstat], false, false
3880, [ ], [readdir], false, false
3890, [ ], [wcwidth], false, false
38a0, [ ], [fflush], false, false
38b0, [ ], [nl_langinfo], false, false
38c0, [ ], [__fxstat], false, false
38d0, [ ], [strcoll], false, false
38e0, [ ], [mktime], false, false
38f0, [ ], [__freading], false, false
3900, [ ], [fwrite_unlocked], false, false
3910, [ ], [realloc], false, false
3920, [ ], [stpncpy], false, false
3930, [ ], [setlocale], false, false
3940, [ ], [__printf_chk], false, false
3950, [ ], [timegm], false, false
3960, [ ], [strftime], false, false
3970, [ ], [mempcpy], false, false
3980, [ ], [memmove], false, false
3990, [ ], [error], false, false
