Comparison of the Reverse Engineering Tools Ghidra and Dyninst

Address, Ghidra Symbols, Dyninst Symbols, Full Match, Partial Match
19a0, [_init], [_init], true, true
19c0, [FUN_001019c0], [ ], false, false
19d0, [ ], [abort], false, false
19e0, [ ], [__errno_location], false, false
19f0, [ ], [strncmp], false, false
1a00, [ ], [_exit], false, false
1a10, [ ], [__fpending], false, false
1a20, [ ], [unlinkat], false, false
1a30, [ ], [qsort], false, false
1a40, [ ], [isatty], false, false
1a50, [ ], [faccessat], false, false
1a60, [ ], [fcntl], false, false
1a70, [ ], [textdomain], false, false
1a80, [ ], [fclose], false, false
1a90, [ ], [bindtextdomain], false, false
1aa0, [ ], [dcgettext], false, false
1ab0, [ ], [__ctype_get_mb_cur_max], false, false
1ac0, [ ], [strlen], false, false
1ad0, [ ], [__lxstat], false, false
1ae0, [ ], [openat], false, false
1af0, [ ], [__stack_chk_fail], false, false
1b00, [ ], [getopt_long], false, false
1b10, [ ], [mbrtowc], false, false
1b20, [ ], [__fxstatat], false, false
1b30, [ ], [__overflow], false, false
1b40, [ ], [strrchr], false, false
1b50, [ ], [lseek], false, false
1b60, [ ], [__assert_fail], false, false
1b70, [ ], [memset], false, false
1b80, [ ], [geteuid], false, false
1b90, [ ], [close], false, false
1ba0, [ ], [closedir], false, false
1bb0, [ ], [memcmp], false, false
1bc0, [ ], [fputs_unlocked], false, false
1bd0, [ ], [calloc], false, false
1be0, [ ], [__getdelim], false, false
1bf0, [ ], [strcmp], false, false
1c00, [ ], [dirfd], false, false
1c10, [ ], [fputc_unlocked], false, false
1c20, [ ], [rpmatch], false, false
1c30, [ ], [memcpy], false, false
1c40, [ ], [fileno], false, false
1c50, [ ], [__xstat], false, false
1c60, [ ], [readdir], false, false
1c70, [ ], [malloc], false, false
1c80, [ ], [fflush], false, false
1c90, [ ], [nl_langinfo], false, false
1ca0, [ ], [__fxstat], false, false
1cb0, [ ], [__freading], false, false
1cc0, [ ], [fchdir], false, false
1cd0, [ ], [realloc], false, false
1ce0, [ ], [setlocale], false, false
1cf0, [ ], [__printf_chk], false, false
1d00, [ ], [mempcpy], false, false
1d10, [ ], [memmove], false, false
1d20, [ ], [error], false, false
1d30, [ ], [open], false, false
1d40, [ ], [fseeko], false, false
1d50, [ ], [dcngettext], false, false
1d60, [ ], [fdopendir], false, false
1d70, [ ], [fstatfs], false, false
1d80, [ ], [__cxa_atexit], false, false
1d90, [ ], [exit], false, false
1da0, [ ], [fwrite], false, false
1db0, [ ], [__fprintf_chk], false, false
1dc0, [ ], [mbsinit], false, false
1dd0, [ ], [iswprint], false, false
1de0, [ ], [__ctype_b_loc], false, false
1df0, [ ], [targ1df0], false, false
1df8, [ ], [targ1df8], false, false
1e00, [main], [main], true, true
23e0, [_start], [_start], true, true
2410, [deregister_tm_clones], [deregister_tm_clones], true, true
2450, [register_tm_clones], [register_tm_clones], true, true
24a0, [__do_global_dtors_aux], [__do_global_dtors_aux], true, true
24e0, [frame_dummy], [frame_dummy], true, true
24f0, [usage], [usage], true, true
2940, [excise], [excise], true, true
2b90, [cache_fstatat.constprop.3], [cache_fstatat.constprop.3], true, true
