Comparison of the Reverse Engineering Tools Ghidra and Dyninst

Addresses found by all tools with %100 matches between symbols found: 
3408	[_init]
54d0	[FUN_001054d0, targ54d0]
5610	[FUN_00105610, targ5610]
58a0	[FUN_001058a0, targ58a0]
5920	[FUN_00105920, targ5920]
5980	[FUN_00105980, targ5980]
5c00	[FUN_00105c00, targ5c00]
5d10	[FUN_00105d10, targ5d10]
5d60	[FUN_00105d60, targ5d60]
5e10	[FUN_00105e10, targ5e10]
5e90	[FUN_00105e90, targ5e90]
5f70	[FUN_00105f70, targ5f70]
6110	[FUN_00106110, targ6110]
61f0	[FUN_001061f0, targ61f0]
6360	[FUN_00106360, targ6360]
6430	[FUN_00106430, targ6430]
6500	[FUN_00106500, targ6500]
65c0	[FUN_001065c0, targ65c0]
6620	[FUN_00106620, targ6620]
6b50	[FUN_00106b50, targ6b50]
6c50	[FUN_00106c50, targ6c50]
6f70	[FUN_00106f70, targ6f70]
7140	[FUN_00107140, targ7140]
7190	[FUN_00107190, targ7190]
7200	[FUN_00107200, targ7200]
72f0	[FUN_001072f0, targ72f0]
7340	[FUN_00107340, targ7340]
7770	[FUN_00107770, targ7770]
7b80	[FUN_00107b80, targ7b80]
7fe0	[FUN_00107fe0, targ7fe0]
8170	[FUN_00108170, targ8170]
8b80	[FUN_00108b80, targ8b80]
8c10	[FUN_00108c10, targ8c10]
8dc0	[FUN_00108dc0, targ8dc0]
9280	[FUN_00109280, targ9280]
97d0	[FUN_001097d0, targ97d0]
98a0	[FUN_001098a0, targ98a0]
a700	[FUN_0010a700, targa700]
bc20	[FUN_0010bc20, targbc20]
c360	[FUN_0010c360, targc360]
c540	[FUN_0010c540, targc540]
c660	[FUN_0010c660, targc660]
c6e0	[FUN_0010c6e0, targc6e0]
c800	[FUN_0010c800, targc800]
c8c0	[FUN_0010c8c0, targc8c0]
c930	[FUN_0010c930, targc930]
d040	[FUN_0010d040, targd040]
d0a0	[FUN_0010d0a0, targd0a0]
d100	[FUN_0010d100, targd100]
d160	[FUN_0010d160, targd160]
d1b0	[FUN_0010d1b0, targd1b0]
